,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2023-09-29,0.11258171220641017,0.1477244419489413,0.11228290861063578,0.11952565908259866,0.25024133212903044,0.2576439460223835
2023-10-31,0.11056199504746896,0.13917081668327252,0.10684090905951804,0.11529145439772254,0.25924663112959134,0.2688881936824266
2023-11-30,0.11715142065917285,0.14718692117027138,0.11445484762303723,0.11146283738964197,0.24799598374573179,0.26174798941214483
2023-12-31,0.1210343948786123,0.14637464419411475,0.11708930965608164,0.1086641152169585,0.2487915863977258,0.258045949656507
2024-01-31,0.1258775204141424,0.15611923390985488,0.11849480327214355,0.10940874552975029,0.2393564108843933,0.2507432859897156
2024-02-29,0.12809913602201517,0.15409867673675737,0.11881492678078835,0.11237479624695217,0.23207987188044896,0.25453259233303804
2024-03-31,0.12602716794189603,0.1569104651389688,0.11806189934314688,0.11145770208461958,0.23394628626737662,0.2535964792239921
2024-04-30,0.12543358847987976,0.16226668560291224,0.12183355194313289,0.1102179396949307,0.23504172419959127,0.24520651007955319
2024-05-31,0.12658062816976082,0.16254442171279093,0.12417337699708063,0.112600323832158,0.23561030010851214,0.23849094917969757
2024-06-30,0.13050982559533772,0.16663541788631234,0.12384223044553506,0.11235298109512545,0.23189470223673464,0.2347648427409548
2024-07-31,0.12730135547872645,0.1686209313929138,0.12836838361176783,0.11517020000474358,0.23003966529478292,0.23049946421706535
2024-08-30,0.1265707341669114,0.16395472538234676,0.12278067684989936,0.11699429992683484,0.23525145001203063,0.23444811366197701
2024-09-30,0.12142668242772352,0.17129414753210126,0.12407534606878273,0.11943697796538766,0.2333138591819137,0.23045298682409113
2024-10-31,0.12934399399371693,0.1664171094727656,0.12139694916449847,0.11589822409143517,0.22747715253614342,0.2394665707414404
2024-11-29,0.12866318778132355,0.1695653768072703,0.12257264296583556,0.11512982635160801,0.2288485379981772,0.23522042809578544
2024-12-31,0.12995841842922806,0.17074976488565238,0.12877307099710658,0.11610775175697478,0.22225401805669587,0.23215697587434242
2025-01-31,0.13001669020855522,0.16708940600192557,0.13078849880532875,0.11249727541178067,0.21692732697804598,0.2426808025943639
2025-02-28,0.12818883195610267,0.17393278947652122,0.12498739805124226,0.1144585252862266,0.2254649911614688,0.23296746406843843
2025-03-31,0.1257779456696882,0.16877508882102338,0.13059940858518895,0.11453911386593818,0.21532998606416512,0.2449784569939962
2025-04-30,0.112747743808247,0.15509302335683625,0.13610820176857008,0.11764605519034411,0.22726914975321824,0.2511358261227843
2025-05-30,0.11209458293859513,0.1573526979731428,0.13812748716005954,0.11766776769761182,0.22497680121057748,0.24978066302001325
2025-06-30,0.11416994208642228,0.1596827158197312,0.14023554743216518,0.11675405521261926,0.22240325719847853,0.24675448225058355
2025-07-31,0.11366322588320713,0.1565705645053391,0.14042784139264117,0.11689364710969385,0.22649303831704407,0.24595168279207455
2025-08-31,0.11189865977304107,0.15707269257603595,0.14403054070883464,0.12094836572969024,0.21529105507517182,0.2507586861372263
2025-09-30,0.11257370736545949,0.15833947548198404,0.13999547304118296,0.11227392763520376,0.21993809347724816,0.2568793229989216
2025-10-31,0.11143256119219509,0.15696585866634108,0.14297116297995677,0.11019263357223988,0.2204613915368114,0.25797639205245576
2025-11-30,0.11109068530815801,0.15529701490453424,0.14502009732980017,0.11113989969019548,0.22057109913495557,0.25688120363235656
2025-12-31,0.11047096202331144,0.15364232341769954,0.14215701338910944,0.10987746211982312,0.21557649849246083,0.2682757405575957
2026-01-30,0.10871837283272885,0.1496133116461412,0.14203738898465462,0.1071219080626639,0.21202753488681209,0.2804814835869994
2026-02-27,0.10726662508541283,0.14555653451989442,0.1414839938706436,0.10522401006122545,0.21288372032730288,0.2875851161355209
2026-03-31,0.10945864589757526,0.13672020346449668,0.14388034743200706,0.10293366569754564,0.21032646819350923,0.29668066931486625
2026-04-30,0.10623230321559825,0.1335359379968351,0.15505895833096414,0.09924114799194578,0.2041120935675813,0.30181955889707546
2026-05-29,0.10259413798025528,0.13092983576971826,0.15647914599628754,0.10348784244981167,0.2048345318371281,0.3016745059667992
