,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2022-10-07,-1.4223,0.2215,1.0000,0.0000,0.4429,0.0000,4.4462,2.6785,2.6624,4.0323,4.0550
2022-10-14,4.6584,0.7708,1.0000,1.0000,1.0000,1.0000,4.6533,2.8027,2.7862,4.2193,4.2439
2022-10-21,3.9354,0.2822,1.0000,1.0000,0.5643,0.0000,4.8365,2.9130,2.8478,4.2185,4.4110
2022-10-28,-3.2569,0.1416,1.0000,0.0000,0.2832,0.0000,4.6789,2.9125,2.8214,4.2185,4.2673
2022-11-04,5.8881,0.1903,1.0000,0.0000,0.3806,0.0000,4.9545,2.9125,2.8846,4.2185,4.5186
2022-11-11,-0.6223,0.0783,1.0000,0.0000,0.1566,0.0000,4.9236,2.9125,2.8816,4.2185,4.4904
2022-11-18,1.5908,0.4268,1.0000,1.0000,0.8536,1.0000,5.0019,2.9582,2.9203,4.2847,4.5619
2022-11-25,1.1384,-0.1257,0.0000,0.0000,0.0000,0.0000,5.0009,2.9576,2.9198,4.2839,4.6138
2022-12-02,-3.3496,0.0800,1.0000,0.0000,0.1600,0.0000,4.8324,2.9576,2.9041,4.2839,4.4593
2022-12-09,-2.0977,0.1581,1.0000,0.0000,0.3163,0.0000,4.7311,2.9576,2.8847,4.2839,4.3657
2022-12-16,-0.0939,0.1352,1.0000,0.0000,0.2705,0.0000,4.7266,2.9576,2.8840,4.2839,4.3616
2022-12-23,-0.1253,0.0163,1.0000,0.0000,0.0326,0.0000,4.7207,2.9576,2.8837,4.2839,4.3562
2022-12-30,1.4774,0.0833,1.0000,0.0000,0.1665,0.0000,4.7904,2.9576,2.8907,4.2839,4.4205
2023-01-06,2.6850,0.0659,1.0000,0.0000,0.1319,0.0000,4.9191,2.9576,2.9010,4.2839,4.5392
2023-01-13,-0.6574,0.0424,1.0000,0.0000,0.0848,1.0000,4.8867,2.9576,2.8993,4.2549,4.5094
2023-01-20,2.4755,0.0402,1.0000,0.0000,0.0805,0.0000,5.0077,2.9576,2.9051,4.2540,4.6210
2023-01-27,1.6441,0.0109,1.0000,0.0000,0.0217,1.0000,5.0900,2.9576,2.9061,4.3231,4.6970
2023-02-03,-1.0452,0.1091,1.0000,0.0000,0.2181,1.0000,5.0368,2.9576,2.8994,4.2779,4.6479
2023-02-10,-0.1912,0.0647,1.0000,0.0000,0.1294,0.0000,5.0272,2.9576,2.8986,4.2771,4.6390
2023-02-17,-2.6715,0.0048,1.0000,0.0000,0.0096,0.0000,4.8929,2.9576,2.8978,4.2771,4.5151
2023-02-24,1.9703,0.1223,1.0000,0.0000,0.2446,0.0000,4.9893,2.9576,2.9116,4.2771,4.6040
2023-03-03,-4.5226,0.0645,1.0000,0.0000,0.1291,0.0000,4.7636,2.9576,2.8945,4.2771,4.3958
2023-03-10,1.4429,0.1933,1.0000,0.0000,0.3865,1.0000,4.8324,2.9576,2.9105,4.3379,4.4592
2023-03-17,1.4770,0.1172,1.0000,0.0000,0.2343,0.0000,4.9038,2.9576,2.9205,4.3371,4.5251
2023-03-24,3.4467,0.0764,1.0000,0.0000,0.1527,0.0000,5.0728,2.9576,2.9358,4.3371,4.6810
2023-03-31,-0.0489,0.0837,1.0000,0.0000,0.1674,1.0000,5.0703,2.9576,2.9356,4.3341,4.6788
2023-04-07,0.7992,0.1278,1.0000,0.0000,0.2557,0.0000,5.1108,2.9576,2.9415,4.3332,4.7161
2023-04-14,-0.0630,0.0849,1.0000,0.0000,0.1697,1.0000,5.1076,2.9576,2.9412,4.3296,4.7132
2023-04-21,0.9049,0.1034,1.0000,0.0000,0.2068,1.0000,5.1538,2.9576,2.9466,4.3688,4.7558
2023-04-28,-0.7934,0.1283,1.0000,0.0000,0.2567,1.0000,5.1129,2.9576,2.9406,4.3341,4.7181
2023-05-05,-0.2520,0.0875,1.0000,0.0000,0.1750,1.0000,5.1000,2.9576,2.9393,4.3232,4.7062
2023-05-12,1.7080,0.0670,1.0000,0.0000,0.1339,1.0000,5.1871,2.9576,2.9460,4.3970,4.7866
2023-05-19,0.3344,0.0602,1.0000,0.0000,0.1204,1.0000,5.2045,2.9576,2.9472,4.4117,4.8026
2023-05-26,1.8809,0.0689,1.0000,0.0000,0.1379,1.0000,5.3024,2.9576,2.9548,4.4947,4.8929
2023-06-02,0.4627,0.0440,1.0000,0.0000,0.0881,1.0000,5.3269,2.9576,2.9560,4.5155,4.9156
2023-06-09,2.6035,0.0696,1.0000,0.0000,0.1392,1.0000,5.4656,2.9576,2.9666,4.6331,5.0435
2023-06-16,-1.4222,0.0678,1.0000,0.0000,0.1357,1.0000,5.3879,2.9576,2.9609,4.5672,4.9718
2023-06-23,2.3245,0.0555,1.0000,0.0000,0.1109,1.0000,5.5131,2.9576,2.9685,4.6734,5.0874
2023-06-30,-1.0671,0.0248,1.0000,0.0000,0.0496,1.0000,5.4543,2.9576,2.9669,4.6235,5.0331
2023-07-07,2.4467,0.0405,1.0000,0.0000,0.0810,1.0000,5.5877,2.9576,2.9728,4.7366,5.1562
2023-07-14,0.6454,-0.0057,0.0000,0.0000,0.0000,1.0000,5.5866,2.9576,2.9727,4.7672,5.1895
2023-07-21,1.0483,0.0238,1.0000,0.0000,0.0476,1.0000,5.6441,2.9576,2.9742,4.8172,5.2439
2023-07-28,-2.2127,-0.0333,0.0000,0.0000,0.0000,1.0000,5.6429,2.9576,2.9742,4.7106,5.1279
2023-08-04,-0.2596,0.1621,1.0000,0.0000,0.3242,1.0000,5.6271,2.9576,2.9715,4.6983,5.1146
2023-08-11,-2.0532,0.0949,1.0000,0.0000,0.1898,1.0000,5.5116,2.9576,2.9598,4.6019,5.0096
2023-08-18,0.7949,0.4016,1.0000,1.0000,0.8032,1.0000,5.5554,2.9805,2.9783,4.6385,5.0494
2023-08-25,2.5502,0.1865,1.0000,0.0000,0.3730,1.0000,5.6971,2.9799,3.0064,4.7568,5.1782
2023-09-01,-1.2567,0.1928,1.0000,0.0000,0.3857,1.0000,5.6255,2.9799,2.9918,4.6970,5.1131
2023-09-08,-0.1315,0.1528,1.0000,0.0000,0.3057,1.0000,5.6181,2.9799,2.9906,4.6908,5.1064
2023-09-15,-2.9208,0.1557,1.0000,0.0000,0.3114,1.0000,5.4540,2.9799,2.9634,4.5538,4.9572
2023-09-22,-0.6831,0.4016,1.0000,1.0000,0.8033,1.0000,5.4168,2.9590,2.9468,4.5227,4.9234
2023-09-29,0.4819,0.3162,1.0000,1.0000,0.6324,1.0000,5.4429,2.9732,2.9557,4.5445,4.9471
2023-10-06,0.4563,0.5052,1.0000,1.0000,1.0000,1.0000,5.4677,2.9868,2.9690,4.5652,4.9697
